Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
168.42, (46.69,-13.763), 168.4196, 100.0, 167.9995720602582, 167.04, 167.04, 0.104, -0.4891, -24.4537, 5.1978, 5.1978
171.9, (44.713,-13.463), 171.8996, 100.0, 171.89955486602895, 171.9, 171.9, 0.0705, -0.495, -24.7506, 3.5225, 3.5225
162.12, (42.959,-13.065), 162.1195, 100.0, 163.0195330565465, 164.04, 164.04, 0.146, -0.4782, -23.9102, 7.3009, 7.3009
152.76, (41.11,-12.311), 152.7595, 100.0, 153.11951761278468, 154.26, 154.26, 0.2261, -0.446, -22.2989, 11.3031, 11.3031
159.78, (39.486,-11.539), 159.7795, 100.0, 158.63949743050168, 157.56, 157.56, 0.1821, -0.4657, -23.2828, 9.1057, 9.1057
161.64, (37.59,-10.9), 161.6395, 100.0, 161.63947588057513, 161.64, 161.64, 0.1575, -0.4745, -23.7274, 7.8747, 7.8747
161.64, (35.692,-10.27), 161.6395, 100.0, 161.63945850697573, 161.64, 161.64, 0.1575, -0.4745, -23.7274, 7.8747, 7.8747
162.96, (33.983,-9.705), 162.9594, 100.0, 162.29944604824638, 161.64, 161.64, 0.152, -0.4763, -23.8165, 7.6008, 7.6008
171.84, (32.029,-9.291), 171.8394, 100.0, 171.83943196698337, 171.84, 171.84, 0.071, -0.4949, -24.7469, 3.5484, 3.5484
171.18, (30.247,-9.036), 171.1794, 100.0, 171.83941439906766, 171.84, 171.84, 0.071, -0.4949, -24.7469, 3.5484, 3.5484
161.64, (28.307,-8.562), 161.6394, 100.0, 161.63939922620952, 162.36, 162.36, 0.1575, -0.4745, -23.7274, 7.8747, 7.8747
161.64, (26.409,-7.932), 161.6394, 100.0, 161.63938269176984, 161.64, 161.64, 0.1575, -0.4745, -23.7274, 7.8747, 7.8747
161.64, (24.7,-7.365), 161.6394, 100.0, 161.6393719417779, 161.64, 161.64, 0.1575, -0.4745, -23.7274, 7.8747, 7.8747
152.88, (22.848,-6.618), 152.8794, 100.0, 153.59935792501696, 154.62, 154.62, 0.2223, -0.4479, -22.3928, 11.1159, 11.1159
151.56, (21.088,-5.668), 151.5593, 100.0, 151.55934353501758, 151.56, 151.56, 0.2381, -0.4397, -21.9829, 11.906, 11.906
159.66, (19.462,-4.899), 159.6593, 100.0, 158.93932701747337, 157.62, 157.62, 0.1797, -0.4666, -23.3301, 8.9836, 8.9836
156.96, (17.897,-4.34), 156.9593, 100.0, 157.25931083435552, 158.28, 158.28, 0.1303, -0.3108, -15.5402, 6.5134, 6.5134
150.36, (17.087,-3.933), 150.3593, 100.0, 151.37929088232048, 151.38, 151.38, 0.0867, -0.1589, -7.9442, 4.3349, 4.3349
141.18, (16.807,-3.754), 141.1793, 100.0, 141.17926964229838, 141.84, 141.84, 0.0031, -0.0039, -0.1948, 0.1567, 0.1567
141.18, (16.807,-3.754), 141.1793, 100.0, 141.17925716612734, 180, 180, 0, -0, -0, 0, 0
141.18, (16.807,-3.754), 141.1792, 100.0, 141.17923861436302, 180, 180, 0, -0, -0, 0, 0
141.9, (16.807,-3.754), 141.8992, 100.0, 141.17922390032786, 180, 180, 0, -0, -0, 0, 0
151.44, (16.807,-3.754), 151.4392, 100.0, 151.43920580464555, 180, 180, 0, -0, -0, 0, 0
159.66, (16.807,-3.754), 159.6592, 100.0, 158.99918653033896, 180, 180, 0, -0, -0, 0, 0
161.7, (16.807,-3.754), 161.6992, 100.0, 161.69916596553475, 180, 180, 0, -0, -0, 0, 0
161.7, (16.807,-3.754), 161.6991, 100.0, 161.69914490908752, 180, 180, 0, -0, -0, 0, 0
161.7, (16.807,-3.754), 161.6991, 100.0, 161.69913698528916, 180, 180, 0, -0, -0, 0, 0
153.66, (16.807,-3.754), 153.6591, 100.0, 154.37912043051875, 180, 180, 0, -0, -0, 0, 0
151.5, (16.807,-3.754), 151.4991, 100.0, 151.4990980987522, 180, 180, 0, -0, -0, 0, 0
145.44, (16.807,-3.754), 145.4391, 100.0, 146.45907892128167, 180, 180, 0, -0, -0, 0, 0
141.3, (16.807,-3.754), 141.2991, 100.0, 141.29906321007095, 180, 180, 0, -0, -0, 0, 0
138.78, (16.807,-3.754), 138.779, 100.0, 139.1990493345656, 180, 180, 0, -0, -0, 0, 0
131.22, (16.807,-3.754), 131.219, 100.0, 131.21903354823647, 180, 180, 0, -0, -0, 0, 0
126, (16.807,-3.754), 125.999, 100.0, 126.35901670339732, 180, 180, 0, -0, -0, 0, 0
120.96, (16.807,-3.754), 120.959, 100.0, 120.95900190116316, 180, 180, 0, -0, -0, 0, 0
110.88, (16.807,-3.754), 110.879, 100.0, 111.95898772425645, 180, 180, 0, -0, -0, 0, 0
110.88, (16.807,-3.754), 110.879, 100.0, 110.87897312394753, 180, 180, 0, -0, -0, 0, 0
110.88, (16.807,-3.754), 110.879, 100.0, 110.87895908921833, 180, 180, 0, -0, -0, 0, 0
110.88, (16.807,-3.754), 110.8789, 100.0, 110.8789436411869, 180, 180, 0, -0, -0, 0, 0
117.9, (16.807,-3.754), 117.8989, 100.0, 117.59892327284906, 180, 180, 0, -0, -0, 0, 0
121.02, (16.807,-3.754), 121.0189, 100.0, 121.01890434631994, 180, 180, 0, -0, -0, 0, 0
127.44, (16.807,-3.754), 127.4389, 100.0, 126.65889015659957, 180, 180, 0, -0, -0, 0, 0
131.4, (16.807,-3.754), 131.3989, 100.0, 131.39887384834537, 180, 180, 0, -0, -0, 0, 0
131.4, (16.807,-3.754), 131.3989, 100.0, 131.39885699110079, 180, 180, 0, -0, -0, 0, 0
123.48, (16.807,-3.754), 123.4788, 100.0, 124.13884387040473, 180, 180, 0, -0, -0, 0, 0
121.68, (16.807,-3.754), 121.6788, 100.0, 121.67882303542191, 180, 180, 0, -0, -0, 0, 0
131.7, (16.807,-3.754), 131.6988, 100.0, 131.33880897439323, 180, 180, 0, -0, -0, 0, 0
131.7, (16.807,-3.754), 131.6988, 100.0, 131.6987914186035, 180, 180, 0, -0, -0, 0, 0
131.7, (16.807,-3.754), 131.6988, 100.0, 131.6987777456403, 180, 180, 0, -0, -0, 0, 0
131.7, (16.807,-3.754), 131.6988, 100.0, 131.69875944774094, 180, 180, 0, -0, -0, 0, 0
128.88, (16.807,-3.754), 128.8787, 100.0, 129.65874038009323, 180, 180, 0, -0, -0, 0, 0
121.5, (16.807,-3.754), 121.4987, 100.0, 121.49872441109815, 180, 180, 0, -0, -0, 0, 0
115.02, (16.807,-3.754), 115.0187, 100.0, 115.3787048689433, 180, 180, 0, -0, -0, 0, 0
107.46, (16.807,-3.754), 107.4587, 100.0, 108.47869548681003, 180, 180, 0, -0, -0, 0, 0
101.22, (16.807,-3.754), 101.2187, 100.0, 101.21867927109126, 180, 180, 0, -0, -0, 0, 0
101.22, (16.807,-3.754), 101.2187, 100.0, 101.21866311173365, 180, 180, 0, -0, -0, 0, 0
101.22, (16.807,-3.754), 101.2186, 100.0, 101.21863952103462, 180, 180, 0, -0, -0, 0, 0
Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
