Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
32.7, (133.697,-5.77), 31.1396, 100.0, 32.09962343414422, 34.74, 34.74, 0.2771, 0.4162, 20.8085, 13.8566, 13.8566
31.2, (135.404,-4.728), 29.6396, 100.0, 29.639608869726622, 31.2, 31.2, 0.259, 0.4277, 21.3841, 12.9507, 12.9507
40.68, (137.029,-3.566), 39.1196, 100.0, 38.75958998362756, 39.3, 39.3, 0.3235, 0.3812, 19.0611, 16.1764, 16.1764
32.64, (138.45,-2.464), 31.0796, 100.0, 32.2195722400204, 34.8, 34.8, 0.278, 0.4156, 20.7795, 13.9001, 13.9001
30.42, (140.158,-1.423), 28.8596, 100.0, 29.639555249292812, 31.2, 31.2, 0.259, 0.4277, 21.3841, 12.9507, 12.9507
20.88, (141.962,-0.565), 19.3195, 100.0, 19.31954210787252, 21.66, 21.66, 0.1782, 0.4672, 23.3582, 8.9103, 8.9103
16.62, (143.651,0.055), 15.0595, 100.0, 16.01952272134399, 18.72, 18.72, 0.151, 0.4766, 23.8324, 7.5509, 7.5509
10.62, (145.601,0.492), 9.0595, 100.0, 9.059504835233843, 10.62, 10.62, 0.0921, 0.4914, 24.5718, 4.6074, 4.6074
5.7, (147.574,0.818), 4.1395, 100.0, 4.439485888148701, 7.02, 7.02, 0.0523, 0.4973, 24.863, 2.6132, 2.6132
0.24, (149.372,0.87), 359.0405, 100.0, 359.0405134476278, 0.24, 0.24, 0.0021, 0.5, 24.9998, 0.1047, 0.1047
10.26, (151.362,1.04), 9.0605, 100.0, 8.640496498476676, 8.34, 8.34, 0.0854, 0.4926, 24.6322, 4.2724, 4.2724
10.26, (153.33,1.396), 9.0605, 100.0, 9.060482623103669, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
10.26, (155.101,1.717), 9.0605, 100.0, 9.060468363482165, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
10.26, (157.069,2.073), 9.0605, 100.0, 9.060450134612333, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
10.26, (158.841,2.393), 9.0604, 100.0, 9.060434233496993, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
10.26, (160.809,2.75), 9.0604, 100.0, 9.060417164944417, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
10.26, (162.58,3.07), 9.0604, 100.0, 9.060400709784632, 10.26, 10.26, 0.0891, 0.492, 24.6002, 4.4529, 4.4529
16.32, (164.536,3.481), 15.1204, 100.0, 14.400385822850465, 14.52, 14.52, 0.1345, 0.4816, 24.0791, 6.723, 6.723
17.64, (166.424,4.139), 16.4404, 100.0, 16.860366088701095, 19.44, 19.44, 0.155, 0.4754, 23.7683, 7.7503, 7.7503
10.38, (168.371,4.587), 9.1804, 100.0, 9.180353744766519, 10.38, 10.38, 0.0901, 0.4918, 24.5909, 4.5044, 4.5044
10.38, (170.142,4.911), 9.1803, 100.0, 9.18034374830604, 10.38, 10.38, 0.0901, 0.4918, 24.5909, 4.5044, 4.5044
15.12, (172.102,5.307), 13.9203, 100.0, 13.56033037864149, 13.32, 13.32, 0.1274, 0.4835, 24.175, 6.3693, 6.3693
20.64, (173.802,5.894), 19.4403, 100.0, 19.440314961125054, 20.64, 20.64, 0.1762, 0.4679, 23.3953, 8.8124, 8.8124
11.76, (175.711,6.482), 10.5603, 100.0, 11.280299841056076, 13.5, 13.5, 0.108, 0.4882, 24.4093, 5.4025, 5.4025
4.68, (177.686,6.794), 3.4803, 100.0, 3.9002780980102294, 6.24, 6.24, 0.0444, 0.498, 24.901, 2.2224, 2.2224
0, (179.485,6.827), 359.0397, 100.0, 359.03971971564044, 0, 0, 0, 0.5, 25, 0, 0
4.44, (181.484,6.862), 3.4797, 100.0, 3.1797023998591905, 3.06, 3.06, 0.0361, 0.4987, 24.9348, 1.8048, 1.8048
10.02, (183.263,7.131), 9.0597, 100.0, 9.05968185591992, 10.02, 10.02, 0.087, 0.4924, 24.6187, 4.3498, 4.3498
10.02, (185.035,7.444), 9.0597, 100.0, 9.059664557326398, 10.02, 10.02, 0.087, 0.4924, 24.6187, 4.3498, 4.3498
18, (186.981,7.898), 17.0396, 100.0, 16.739641245283842, 16.32, 16.32, 0.152, 0.4763, 23.8165, 7.6008, 7.6008
25.74, (188.841,8.629), 24.7796, 100.0, 24.47962805616852, 24.42, 24.42, 0.2148, 0.4515, 22.5759, 10.7391, 10.7391
30.3, (190.411,9.508), 29.3396, 100.0, 29.339615396216082, 30.3, 30.3, 0.2523, 0.4317, 21.5849, 12.6132, 12.6132
22.74, (192.178,10.442), 21.7796, 100.0, 22.859602584593656, 24.66, 24.66, 0.2019, 0.4574, 22.8705, 10.0966, 10.0966
20.22, (194.049,11.148), 19.2596, 100.0, 19.259588939000523, 20.22, 20.22, 0.1728, 0.4692, 23.4593, 8.6406, 8.6406
18.48, (195.927,11.834), 17.5196, 100.0, 17.879571110471442, 20.22, 20.22, 0.1615, 0.4732, 23.6606, 8.0732, 8.0732
10.62, (197.676,12.255), 9.6596, 100.0, 8.999556977292459, 10.32, 10.32, 0.0865, 0.4925, 24.6232, 4.324, 4.324
20.04, (199.597,12.799), 19.0795, 100.0, 19.079539589060904, 19.68, 19.68, 0.1713, 0.4697, 23.4863, 8.5669, 8.5669
20.04, (201.288,13.416), 19.0795, 100.0, 19.07952325967149, 20.04, 20.04, 0.1713, 0.4697, 23.4863, 8.5669, 8.5669
20.04, (203.167,14.101), 19.0795, 100.0, 19.0795097781775, 20.04, 20.04, 0.1713, 0.4697, 23.4863, 8.5669, 8.5669
27.84, (205.005,14.884), 26.8795, 100.0, 26.51949073388056, 26.4, 26.4, 0.2307, 0.4436, 22.1793, 11.536, 11.536
23.04, (206.599,15.718), 22.0795, 100.0, 23.039480483758805, 25.14, 25.14, 0.2034, 0.4568, 22.8386, 10.1684, 10.1684
13.44, (208.491,16.359), 12.4795, 100.0, 13.079464300202293, 15.36, 15.36, 0.1213, 0.4851, 24.2532, 6.065, 6.065
3.96, (210.465,16.67), 2.9994, 100.0, 3.7194442473182674, 5.64, 5.64, 0.0408, 0.4983, 24.9166, 2.0398, 2.0398
354.84, (212.462,16.642), 353.7606, 100.0, 353.7605529533866, -4.08, -4.08, -0.045, 0.498, 24.8987, -2.2484, -2.2484
349.02, (214.237,16.348), 347.9405, 100.0, 347.9405395784964, -10.62, -10.62, -0.0952, 0.4908, 24.5423, -4.7617, -4.7617
339.36, (215.965,15.849), 338.2805, 100.0, 338.640524964057, -19.26, -19.26, -0.1733, 0.469, 23.4502, -8.6652, -8.6652
339.36, (217.836,15.144), 338.2805, 100.0, 338.28051535383895, -20.64, -20.64, -0.1762, 0.4679, 23.3953, -8.8124, -8.8124
349.26, (219.755,14.589), 348.1805, 100.0, 347.4004988633252, -12.54, -12.54, -0.0999, 0.4899, 24.4964, -4.9927, -4.9927
349.56, (221.722,14.226), 348.4805, 100.0, 348.4804805781928, -10.44, -10.44, -0.0906, 0.4917, 24.5861, -4.5301, -4.5301
356.4, (223.502,13.968), 355.3205, 100.0, 354.24045999260176, -5.7, -5.7, -0.0408, 0.4983, 24.9166, -2.0398, -2.0398
353.7, (225.499,13.882), 352.6204, 100.0, 353.28044122676306, -4.62, -4.62, -0.0491, 0.4976, 24.879, -2.4569, -2.4569
355.2, (227.479,13.607), 354.1204, 100.0, 353.7604279524825, -6.36, -6.36, -0.045, 0.498, 24.8987, -2.2484, -2.2484
359.94, (229.278,13.573), 358.8604, 100.0, 358.86041468614474, -0.06, -0.06, -0.0005, 0.5, 25, -0.0262, -0.0262
351.84, (231.274,13.467), 350.7604, 100.0, 351.4204011111167, -6.48, -6.48, -0.0653, 0.4957, 24.7861, -3.2632, -3.2632
349.8, (233.243,13.121), 348.7204, 100.0, 348.72038972027417, -10.2, -10.2, -0.0885, 0.4921, 24.6049, -4.4271, -4.4271
341.22, (234.991,12.697), 340.1404, 100.0, 341.22037661441203, -16.56, -16.56, -0.152, 0.4763, 23.8165, -7.6008, -7.6008
335.16, (236.856,11.978), 334.0804, 100.0, 334.7403653743683, -23.1, -23.1, -0.2048, 0.4561, 22.8066, -10.2401, -10.2401
329.22, (238.604,11.008), 328.1404, 100.0, 328.14035216972417, -30.78, -30.78, -0.2559, 0.4296, 21.4785, -12.7936, -12.7936
336.12, (240.187,10.154), 335.0403, 100.0, 334.4403380187871, -25.5, -25.5, -0.2072, 0.4551, 22.7526, -10.3594, -10.3594
339.66, (241.68,9.58), 338.5803, 100.0, 338.5803219348092, -20.34, -20.34, -0.1738, 0.4688, 23.4412, -8.6898, -8.6898
339.66, (243.555,8.885), 338.5803, 100.0, 338.5803050789796, -20.34, -20.34, -0.1738, 0.4688, 23.4412, -8.6898, -8.6898
339.66, (245.431,8.19), 338.5803, 100.0, 338.5802891610382, -20.34, -20.34, -0.1738, 0.4688, 23.4412, -8.6898, -8.6898
339.66, (247.306,7.495), 338.5803, 100.0, 338.58026923709525, -20.34, -20.34, -0.1738, 0.4688, 23.4412, -8.6898, -8.6898
339.66, (248.994,6.869), 338.5803, 100.0, 338.58025493134863, -20.34, -20.34, -0.1738, 0.4688, 23.4412, -8.6898, -8.6898
339.66, (250.869,6.174), 338.5802, 100.0, 338.5802384062967, -20.34, -20.34, -0.1738, 0.4688, 23.4412, -8.6898, -8.6898
349.86, (252.797,5.65), 348.7802, 100.0, 348.4802243858434, -11.64, -11.64, -0.0906, 0.4917, 24.5861, -4.5301, -4.5301
340.32, (254.728,5.142), 339.2402, 100.0, 339.60020621479674, -18.3, -18.3, -0.1654, 0.4718, 23.5921, -8.2711, -8.2711
343.86, (256.424,4.541), 342.7802, 100.0, 342.0001923018015, -17.94, -17.94, -0.1455, 0.4784, 23.9178, -7.2759, -7.2759
